{'loss': 36.6594, 'grad_norm': 122.0752182006836, 'learning_rate': 4.900000000000001e-07, 'epoch': 0.01}                                                                                                
{'loss': 36.1436, 'grad_norm': 139.11480712890625, 'learning_rate': 9.9e-07, 'epoch': 0.03}                                                                                                             
{'loss': 34.4252, 'grad_norm': 142.4225616455078, 'learning_rate': 1.4900000000000001e-06, 'epoch': 0.04}                                                                                               
{'loss': 32.1192, 'grad_norm': 155.1703338623047, 'learning_rate': 1.9900000000000004e-06, 'epoch': 0.06}                                                                                               
{'loss': 29.8262, 'grad_norm': 123.12335968017578, 'learning_rate': 2.4900000000000003e-06, 'epoch': 0.07}                                                                                              
{'loss': 24.9814, 'grad_norm': 112.08248138427734, 'learning_rate': 2.99e-06, 'epoch': 0.09}                                                                                                            
{'loss': 20.6951, 'grad_norm': 116.83572387695312, 'learning_rate': 3.49e-06, 'epoch': 0.1}                                                                                                             
{'loss': 15.6293, 'grad_norm': 87.43842315673828, 'learning_rate': 3.990000000000001e-06, 'epoch': 0.12}                                                                                                
{'loss': 11.3011, 'grad_norm': 52.94685745239258, 'learning_rate': 4.49e-06, 'epoch': 0.13}                                                                                                             
{'loss': 6.9785, 'grad_norm': 34.20719528198242, 'learning_rate': 4.9900000000000005e-06, 'epoch': 0.15}                                                                                                
{'loss': 3.8664, 'grad_norm': 52.92702865600586, 'learning_rate': 4.985019871598899e-06, 'epoch': 0.16}
